fabric_peer5.1.36eg7unx9tao@heming-rdma19    | [34m2021-08-20 07:04:15.262 UTC [nodeCmd] serve -> INFO 001[0m Starting peer:
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:03:46.876 UTC [gossip/gossip] NewGossipService -> INFO 012[0m Creating gossip service with self membership of {fabric_peer5:7051 [] [235 111 141 74 128 96 188 253 221 18 42 210 110 40 38 56 208 235 8 29 238 126 44 138 207 74 9 62 181 25 175 52] 10.0.2.105:7051 <nil> <nil>}
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:03:46.876 UTC [gossip/gossip] start -> INFO 013[0m Gossip instance 10.0.2.105:7051 started
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:03:46.876 UTC [sccapi] deploySysCC -> INFO 014[0m system chaincode lscc/(github.com/hyperledger/fabric/core/scc/lscc) deployed
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:03:46.876 UTC [cscc] Init -> INFO 015[0m Init CSCC
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:03:46.876 UTC [sccapi] deploySysCC -> INFO 016[0m system chaincode cscc/(github.com/hyperledger/fabric/core/scc/cscc) deployed
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:03:46.876 UTC [qscc] Init -> INFO 017[0m Init QSCC
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:03:46.876 UTC [sccapi] deploySysCC -> INFO 018[0m system chaincode qscc/(github.com/hyperledger/fabric/core/scc/qscc) deployed
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:03:46.877 UTC [sccapi] deploySysCC -> INFO 019[0m system chaincode +lifecycle/(github.com/hyperledger/fabric/core/chaincode/lifecycle) deployed
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:03:46.877 UTC [nodeCmd] serve -> INFO 01a[0m Deployed system chaincodes
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:03:46.886 UTC [discovery] NewService -> INFO 01b[0m Created with config TLS: false, authCacheMaxSize: 1000, authCachePurgeRatio: 0.750000
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:03:46.886 UTC [nodeCmd] registerDiscoveryService -> INFO 01c[0m Discovery service activated
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:03:46.887 UTC [nodeCmd] serve -> INFO 01d[0m Starting peer with ID=[name:"fabric_peer5" ], network ID=[dev], address=[10.0.2.105:7051]
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:03:46.887 UTC [nodeCmd] serve -> INFO 01e[0m Started peer with ID=[name:"fabric_peer5" ], network ID=[dev], address=[10.0.2.105:7051]
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [33m2021-08-20 07:03:55.878 UTC [gossip/comm] func1 -> WARN 01f[0m 10.0.2.112:7051, PKIid:[182 26 118 107 3 164 123 25 216 237 172 25 245 12 213 106 187 235 82 89 45 236 254 73 36 21 74 243 83 67 24 20] isn't responsive: EOF
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [33m2021-08-20 07:03:55.879 UTC [gossip/discovery] expireDeadMembers -> WARN 020[0m Entering [[182 26 118 107 3 164 123 25 216 237 172 25 245 12 213 106 187 235 82 89 45 236 254 73 36 21 74 243 83 67 24 20]]
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [33m2021-08-20 07:03:55.879 UTC [gossip/discovery] expireDeadMembers -> WARN 021[0m Closing connection to Endpoint: fabric_peer2:7051, InternalEndpoint: 10.0.2.112:7051, PKI-ID: [182 26 118 107 3 164 123 25 216 237 172 25 245 12 213 106 187 235 82 89 45 236 254 73 36 21 74 243 83 67 24 20], Metadata: []
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [33m2021-08-20 07:03:55.879 UTC [gossip/discovery] expireDeadMembers -> WARN 022[0m Exiting
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:04:09.167 UTC [endorser] callChaincode -> INFO 023[0m [][04fd731d] Entry chaincode: name:"cscc" 
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:04:09.168 UTC [ledgermgmt] CreateLedger -> INFO 024[0m Creating ledger [mychannel] with genesis block
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:04:09.169 UTC [fsblkstorage] newBlockfileMgr -> INFO 025[0m Getting block information from block storage
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:04:09.170 UTC [kvledger] CommitWithPvtData -> INFO 026[0m [mychannel] Committed block [0] with 1 transaction(s) in 0ms (state_validation=0ms block_commit=0ms state_commit=0ms)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:04:09.170 UTC [ledgermgmt] CreateLedger -> INFO 027[0m Created ledger [mychannel] with genesis block
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:04:09.173 UTC [gossip/gossip] JoinChan -> INFO 028[0m Joining gossip network of channel mychannel with 1 organizations
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [34m2021-08-20 07:04:09.173 UTC [gossip/gossip] learnAnchorPeers -> INFO 029[0m No configured anchor peers of Org1MSP for channel mychannel to learn about
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [35m2021-08-20 07:04:09.174 UTC [gossip/state] NewGossipStateProvider -> PANI 02a[0m Committer height cannot be zero, ledger should include at least one block (genesis).
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | panic: Committer height cannot be zero, ledger should include at least one block (genesis).
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	panic: runtime error: invalid memory address or nil pointer dereference
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | [signal SIGSEGV: segmentation violation code=0x1 addr=0x30 pc=0xc46096]
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | goroutine 383 [running]:
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | github.com/hyperledger/fabric/core/chaincode/shim.(*Handler).triggerNextState(0xc4203f8180, 0x0, 0xc4202ec000)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/core/chaincode/shim/handler.go:35 +0x26
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | github.com/hyperledger/fabric/core/chaincode/shim.(*Handler).handleTransaction.func1.1(0xc4203f8180, 0xc420a43ea8, 0xc4202ec000)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/core/chaincode/shim/handler.go:256 +0x42
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | panic(0xed4480, 0xc420382e10)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/go/src/runtime/panic.go:502 +0x229
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | github.com/hyperledger/fabric/vendor/go.uber.org/zap/zapcore.(*CheckedEntry).Write(0xc420be2370, 0x0, 0x0, 0x0)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/vendor/go.uber.org/zap/zapcore/entry.go:229 +0x4f4
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | github.com/hyperledger/fabric/vendor/go.uber.org/zap.(*SugaredLogger).log(0xc42017c488, 0xc420a42904, 0xc420d270e0, 0x54, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/vendor/go.uber.org/zap/sugar.go:234 +0xf6
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | github.com/hyperledger/fabric/vendor/go.uber.org/zap.(*SugaredLogger).Panicf(0xc42017c488, 0xc420d270e0, 0x54, 0x0, 0x0, 0x0)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/vendor/go.uber.org/zap/sugar.go:159 +0x79
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | github.com/hyperledger/fabric/common/flogging.(*FabricLogger).Panic(0xc42017c490, 0xc420382d60, 0x1, 0x1)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/common/flogging/zap.go:73 +0x75
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | github.com/hyperledger/fabric/gossip/state.NewGossipStateProvider(0xc4203bcd81, 0x9, 0xc420352be0, 0x7f5d703ed620, 0xc420be2a50, 0xc420107c50, 0x11d5d40)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/gossip/state/state.go:190 +0x871
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | github.com/hyperledger/fabric/gossip/service.(*gossipServiceImpl).InitializeChannel(0xc42027f290, 0xc4203bcd81, 0x9, 0xc42058a660, 0x1, 0x1, 0x11b86e0, 0xc420107c50, 0x11d5d40, 0xc420352940, ...)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/gossip/service/gossip_service.go:257 +0x7da
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | github.com/hyperledger/fabric/core/peer.createChain(0xc4203bcd81, 0x9, 0x11da3a0, 0xc4203a35e0, 0xc4205e6ec0, 0x11ca220, 0xc42017ce68, 0x11d33a0, 0xc4205d0960, 0x11baf20, ...)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/core/peer/peer.go:407 +0x746
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | github.com/hyperledger/fabric/core/peer.CreateChainFromBlock(0xc4205e6ec0, 0x11ca220, 0xc42017ce68, 0x11d33a0, 0xc4205d0960, 0x0, 0xc4203bcd7c)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/core/peer/peer.go:438 +0x1c2
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | github.com/hyperledger/fabric/core/scc/cscc.joinChain(0xc4203bc910, 0x9, 0xc4205e6ec0, 0x11ca220, 0xc42017ce68, 0x11d33a0, 0xc4205d0960, 0x0, 0x0, 0x0, ...)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/core/scc/cscc/configure.go:238 +0x99
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | github.com/hyperledger/fabric/core/scc/cscc.(*PeerConfiger).InvokeNoShim(0xc4205d0d70, 0xc420d1b7d0, 0x2, 0x2, 0xc420d16d20, 0x0, 0x0, 0x0, 0x0, 0x0, ...)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/core/scc/cscc/configure.go:166 +0x5fd
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | github.com/hyperledger/fabric/core/scc/cscc.(*PeerConfiger).Invoke(0xc4205d0d70, 0x11dbb00, 0xc420be2420, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, ...)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/core/scc/cscc/configure.go:120 +0x30c
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | github.com/hyperledger/fabric/core/chaincode/shim.(*Handler).handleTransaction.func1(0xc4203f8180, 0xc4202ec000, 0xc420278700)
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/core/chaincode/shim/handler.go:282 +0x508
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | created by github.com/hyperledger/fabric/core/chaincode/shim.(*Handler).handleTransaction
fabric_peer5.1.y74eiittdn5v@heming-rdma19    | 	/opt/gopath/src/github.com/hyperledger/fabric/core/chaincode/shim/handler.go:251 +0x53
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.189 UTC [nodeCmd] serve -> INFO 001[0m Starting peer:
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    |  Version: 1.3.0
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    |  Commit SHA: 4ece33d
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    |  Go version: go1.10.4
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    |  OS/Arch: linux/amd64
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    |  Experimental features: false
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    |  Chaincode:
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    |   Base Image Version: 0.4.13
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    |   Base Docker Namespace: hyperledger
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    |   Base Docker Label: org.hyperledger.fabric
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    |   Docker Namespace: hyperledger
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.189 UTC [ledgermgmt] initialize -> INFO 002[0m Initializing ledger mgmt
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.189 UTC [kvledger] NewProvider -> INFO 003[0m Initializing ledger provider
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.190 UTC [kvledger] NewProvider -> INFO 004[0m ledger provider Initialized
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.190 UTC [ledgermgmt] initialize -> INFO 005[0m ledger mgmt initialized
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.190 UTC [peer] func1 -> INFO 006[0m Auto-detected peer address: 10.0.2.130:7051
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.190 UTC [peer] func1 -> INFO 007[0m Host is 0.0.0.0 , falling back to auto-detected address: 10.0.2.130:7051
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.190 UTC [peer] func1 -> INFO 008[0m Auto-detected peer address: 10.0.2.130:7051
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.190 UTC [peer] func1 -> INFO 009[0m Host is 0.0.0.0 , falling back to auto-detected address: 10.0.2.130:7051
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | jyp: listenAddr= 0.0.0.0:7051 /opt/gopath/src/github.com/hyperledger/fabric/peer/node/start.go 195 2021-08-20 07:04:23.190566
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | jyp: register grpc deliver server
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.191 UTC [nodeCmd] computeChaincodeEndpoint -> INFO 00a[0m Entering computeChaincodeEndpoint with peerHostname: 10.0.2.130
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.191 UTC [nodeCmd] computeChaincodeEndpoint -> INFO 00b[0m Exit with ccEndpoint: 10.0.2.130:7052
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [33m2021-08-20 07:04:23.191 UTC [nodeCmd] createChaincodeServer -> WARN 00c[0m peer.chaincodeListenAddress is not set, using 10.0.2.130:7052
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.191 UTC [sccapi] registerSysCC -> INFO 00d[0m system chaincode lscc(github.com/hyperledger/fabric/core/scc/lscc) registered
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.191 UTC [sccapi] registerSysCC -> INFO 00e[0m system chaincode cscc(github.com/hyperledger/fabric/core/scc/cscc) registered
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.191 UTC [sccapi] registerSysCC -> INFO 00f[0m system chaincode qscc(github.com/hyperledger/fabric/core/scc/qscc) registered
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.191 UTC [sccapi] registerSysCC -> INFO 010[0m system chaincode +lifecycle(github.com/hyperledger/fabric/core/chaincode/lifecycle) registered
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | jyp: register grpc Admin server
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | jyp: TOOD: how to init plugin
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | jyp: register grpc Endorser server
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.193 UTC [gossip/service] func1 -> INFO 011[0m Initialize gossip with endpoint 10.0.2.130:7051 and bootstrap set [fabric_peer0:7051]
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.195 UTC [gossip/gossip] NewGossipService -> INFO 012[0m Creating gossip service with self membership of {fabric_peer5:7051 [] [235 111 141 74 128 96 188 253 221 18 42 210 110 40 38 56 208 235 8 29 238 126 44 138 207 74 9 62 181 25 175 52] 10.0.2.130:7051 <nil> <nil>}
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.196 UTC [gossip/gossip] start -> INFO 013[0m Gossip instance 10.0.2.130:7051 started
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.196 UTC [sccapi] deploySysCC -> INFO 014[0m system chaincode lscc/(github.com/hyperledger/fabric/core/scc/lscc) deployed
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.196 UTC [cscc] Init -> INFO 015[0m Init CSCC
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.196 UTC [sccapi] deploySysCC -> INFO 016[0m system chaincode cscc/(github.com/hyperledger/fabric/core/scc/cscc) deployed
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.196 UTC [qscc] Init -> INFO 017[0m Init QSCC
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.196 UTC [sccapi] deploySysCC -> INFO 018[0m system chaincode qscc/(github.com/hyperledger/fabric/core/scc/qscc) deployed
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.196 UTC [sccapi] deploySysCC -> INFO 019[0m system chaincode +lifecycle/(github.com/hyperledger/fabric/core/chaincode/lifecycle) deployed
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.196 UTC [nodeCmd] serve -> INFO 01a[0m Deployed system chaincodes
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.203 UTC [discovery] NewService -> INFO 01b[0m Created with config TLS: false, authCacheMaxSize: 1000, authCachePurgeRatio: 0.750000
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.203 UTC [nodeCmd] registerDiscoveryService -> INFO 01c[0m Discovery service activated
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.204 UTC [nodeCmd] serve -> INFO 01d[0m Starting peer with ID=[name:"fabric_peer5" ], network ID=[dev], address=[10.0.2.130:7051]
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [34m2021-08-20 07:04:23.204 UTC [nodeCmd] serve -> INFO 01e[0m Started peer with ID=[name:"fabric_peer5" ], network ID=[dev], address=[10.0.2.130:7051]
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [33m2021-08-20 07:04:23.269 UTC [gossip/gossip] handleMessage -> WARN 01f[0m Message GossipMessage: tag:EMPTY alive_msg:<membership:<endpoint:"fabric_peer3:7051" pki_id:"\252\257\324\312Y\357$0\342-\037\257\005\3176\362\357s\006\237\003\200\241\035c\245C\374\360\260\226A" > timestamp:<inc_num:1629443027954024116 seq_num:29 > > , Envelope: 73 bytes, Signature: 70 bytes Secret payload: 17 bytes, Secret Signature: 70 bytes isn't valid
fabric_peer5.1.7gdar3bszgq6@heming-rdma19    | [33m2021-08-20 07:04:24.213 UTC [gossip/gossip] handleMessage -> WARN 020[0m Message GossipMessage: tag:EMPTY alive_msg:<membership:<endpoint:"fabric_peer3:7051" pki_id:"\252\257\324\312Y\357$0\342-\037\257\005\3176\362\357s\006\237\003\200\241\035c\245C\374\360\260\226A" > timestamp:<inc_num:1629443027954024116 seq_num:29 > > , Envelope: 73 bytes, Signature: 70 bytes Secret payload: 17 bytes, Secret Signature: 70 bytes isn't valid
